TF,GENE,abs
Id2,0610030E20Rik,0.0
Id2,1110004F10Rik,0.0
Id2,1700020I14Rik,0.0
Id2,1810037I17Rik,0.0
Id2,1810058I24Rik,0.0
Id2,2010111I01Rik,0.0
Id2,2210016F16Rik,0.0
Id2,2310011J03Rik,0.0
Id2,2410015M20Rik,0.0
Id2,2510002D24Rik,0.0
Id2,2610001J05Rik,0.0
Id2,2810004N23Rik,0.0
Id2,2810403A07Rik,0.0
Id2,3830406C13Rik,0.0
Id2,4632427E13Rik,0.0
Id2,4833420G17Rik,0.0
Id2,4833439L19Rik,0.0
Id2,4921524J17Rik,0.0
Id2,4930523C07Rik,0.0
Id2,4931406P16Rik,0.0
Id2,4933427D14Rik,0.0
Id2,5830428M24Rik,0.0
Id2,9530068E07Rik,0.0
Id2,AB124611,0.0
Id2,AI413582,0.0
Id2,AI467606,0.0
Id2,Abcb4,0.0
Id2,Abcf1,0.0
Id2,Abhd12,0.0
Id2,Abi1,0.0
Id2,Ablim1,0.0
Id2,Acadl,0.0
Id2,Acap1,0.0
Id2,Acap2,0.0
Id2,Acbd5,0.0
Id2,Acin1,0.0
Id2,Acot13,0.0
Id2,Acot7,0.0
Id2,Acp5,0.0
Id2,Actl6a,0.0
Id2,Actr2,0.0
Id2,Actr8,0.0
Id2,Adam10,0.0
Id2,Adam19,0.0
Id2,Add3,0.0
Id2,Adipor1,0.0
Id2,Adprh,0.0
Id2,Afg3l2,0.0
Id2,Aftph,0.0
Id2,Aggf1,0.0
Id2,Agpat3,0.0
Id2,Ahi1,0.0
Id2,Ahnak,0.0
Id2,Aifm1,0.0
Id2,Ak2,0.0
Id2,Akap13,0.0
Id2,Akap8,0.0
Id2,Akap8l,0.0
Id2,Akap9,0.0
Id2,Akr1b10,0.0
Id2,Aldoa,0.0
Id2,Alg5,0.0
Id2,Alkbh1,0.0
Id2,Alkbh4,0.0
Id2,Ankhd1,0.0
Id2,Ankrd10,0.0
Id2,Ankrd12,0.0
Id2,Ankrd26,0.0
Id2,Ankrd39,0.0
Id2,Ankrd44,0.0
Id2,Anp32a,0.0
Id2,Anp32b,0.0
Id2,Anp32e,0.0
Id2,Anxa2,0.0
Id2,Anxa5,0.0
Id2,Ap1g2,0.0
Id2,Ap3b1,0.0
Id2,Ap4s1,0.0
Id2,Apbb1ip,0.0
Id2,Apeh,0.0
Id2,Apip,0.0
Id2,Aplp2,0.0
Id2,Appl1,0.0
Id2,Araf,0.0
Id2,Arap2,0.0
Id2,Arfrp1,0.0
Id2,Arglu1,0.0
Id2,Arhgap10,0.0
Id2,Arhgap15,0.0
Id2,Arhgap18,0.0
Id2,Arhgap25,0.0
Id2,Arhgap30,0.0
Id2,Arhgap9,0.0
Id2,Arhgdib,0.0
Id2,Arhgef3,0.0
Id2,Arhgef6,0.0
Id2,Arid4a,0.0
Id2,Arid4b,0.0
Id2,Arid5b,0.0
Id2,Arl13b,0.0
Id2,Arl4a,0.0
Id2,Arl6ip4,0.0
Id2,Armc1,0.0
Id2,Armc7,0.0
Id2,Arpc2,0.0
Id2,Arpc5,0.0
Id2,Arpc5l,0.0
Id2,Arpp19,0.0
Id2,Asap1,0.0
Id2,Ash1l,0.0
Id2,Ash2l,0.0
Id2,Asrgl1,0.0
Id2,Asxl2,0.0
Id2,Atad2,0.0
Id2,Ate1,0.0
Id2,Atf7ip,0.0
Id2,Atg3,0.0
Id2,Atg5,0.0
Id2,Atp10d,0.0
Id2,Atp11b,0.0
Id2,Atp1b3,0.0
Id2,Atp2b1,0.0
Id2,Atp5a1,0.0
Id2,Atp5b,0.0
Id2,Atp5c1,0.0
Id2,Atp5d,0.0
Id2,Atp5f1,0.0
Id2,Atp5g3,0.0
Id2,Atp5j,0.0
Id2,Atp5j2,0.0
Id2,Atp5o,0.0
Id2,Atp6ap1,0.0
Id2,Atp6v0a2,0.0
Id2,Atp6v0d1,0.0
Id2,Atp6v0e,0.0
Id2,Atp6v1c1,0.0
Id2,Atp6v1d,1.292533027418169
Id2,Atp6v1e1,0.0
Id2,Atp8b4,2.3819077043642034
Id2,Atrx,0.0
Id2,Atxn10,0.0
Id2,Atxn7l3b,0.0
Id2,Aup1,0.0
Id2,Aurkaip1,0.0
Id2,Avl9,0.0
Id2,Azi2,0.0
Id2,B230219D22Rik,0.0
Id2,B3gnt5,0.0
Id2,BC004004,0.0
Id2,BC005624,0.0
Id2,Bag1,0.0
Id2,Bag4,0.0
Id2,Bag5,0.0
Id2,Banf1,0.0
Id2,Baz1a,0.0
Id2,Baz1b,0.0
Id2,Baz2a,0.0
Id2,Baz2b,0.0
Id2,Bbx,0.0
Id2,Bcap29,0.0
Id2,Bcap31,0.0
Id2,Bcas2,0.0
Id2,Bcl2,0.0
Id2,Bclaf1,0.0
Id2,Bdp1,0.0
Id2,Bhlhe40,0.0
Id2,Bin1,0.0
Id2,Bin3,0.0
Id2,Birc2,0.0
Id2,Birc6,0.0
Id2,Blmh,0.0
Id2,Bms1,0.0
Id2,Bnip2,0.0
Id2,Bptf,0.0
Id2,Brcc3,0.0
Id2,Brd2,0.0
Id2,Brd3,0.0
Id2,Brd7,0.0
Id2,Brd8,0.0
Id2,Brix1,0.0
Id2,Bscl2,0.0
Id2,Btbd9,0.0
Id2,Bub3,0.0
Id2,Bzw1,0.0
Id2,Bzw2,0.0
Id2,C1d,0.0
