TF,GENE,abs
Chd2,0610030E20Rik,0.0
Chd2,1110004F10Rik,0.0
Chd2,1700020I14Rik,0.0
Chd2,1810037I17Rik,0.0
Chd2,1810058I24Rik,0.0
Chd2,2010111I01Rik,0.0
Chd2,2210016F16Rik,0.0
Chd2,2310011J03Rik,0.0
Chd2,2410015M20Rik,0.31852049208277555
Chd2,2510002D24Rik,0.0
Chd2,2610001J05Rik,0.0
Chd2,2810004N23Rik,0.0
Chd2,2810403A07Rik,0.0
Chd2,3830406C13Rik,0.0
Chd2,4632427E13Rik,0.0
Chd2,4833420G17Rik,0.0
Chd2,4833439L19Rik,0.0
Chd2,4921524J17Rik,0.0
Chd2,4930523C07Rik,0.0
Chd2,4931406P16Rik,0.0
Chd2,4933427D14Rik,0.0
Chd2,5830428M24Rik,0.0
Chd2,9530068E07Rik,0.0
Chd2,AB124611,0.0
Chd2,AI413582,0.0
Chd2,AI467606,0.0
Chd2,Abcb4,0.0
Chd2,Abcf1,0.0
Chd2,Abhd12,0.0
Chd2,Abi1,0.0
Chd2,Ablim1,0.0
Chd2,Acadl,0.0
Chd2,Acap1,0.0
Chd2,Acap2,0.0
Chd2,Acbd5,0.0
Chd2,Acin1,0.0
Chd2,Acot13,0.0
Chd2,Acot7,0.0
Chd2,Acp5,0.0
Chd2,Actl6a,0.0
Chd2,Actr2,0.0
Chd2,Actr8,0.0
Chd2,Adam10,0.0
Chd2,Adam19,0.0
Chd2,Add3,0.0
Chd2,Adipor1,1.987106904980396
Chd2,Adprh,0.0
Chd2,Afg3l2,0.0
Chd2,Aftph,0.0
Chd2,Aggf1,0.0
Chd2,Agpat3,0.0
Chd2,Ahi1,0.0
Chd2,Ahnak,1.7861665465864385
Chd2,Aifm1,0.0
Chd2,Ak2,0.0
Chd2,Akap13,0.0
Chd2,Akap8,0.0
Chd2,Akap8l,0.0
Chd2,Akap9,0.0
Chd2,Akr1b10,0.0
Chd2,Aldoa,1.987106904980396
Chd2,Alg5,0.0
Chd2,Alkbh4,0.0
Chd2,Angel2,0.0
Chd2,Ankhd1,2.1495027549966306
Chd2,Ankrd10,0.0
Chd2,Ankrd12,0.0
Chd2,Ankrd26,0.0
Chd2,Ankrd39,0.0
Chd2,Ankrd44,0.0
Chd2,Anp32a,0.0
Chd2,Anp32b,0.0
Chd2,Anp32e,0.0
Chd2,Anxa2,0.0
Chd2,Anxa5,0.0
Chd2,Ap1g2,0.0
Chd2,Ap3b1,0.0
Chd2,Ap4s1,0.0
Chd2,Apbb1ip,0.0
Chd2,Apeh,0.0
Chd2,Apip,0.0
Chd2,Aplp2,0.0
Chd2,Appl1,0.0
Chd2,Araf,0.0
Chd2,Arap2,0.0
Chd2,Arfrp1,0.0
Chd2,Arglu1,0.0
Chd2,Arhgap10,0.0
Chd2,Arhgap15,0.0
Chd2,Arhgap18,0.0
Chd2,Arhgap25,0.0
Chd2,Arhgap30,0.0
Chd2,Arhgap9,0.0
Chd2,Arhgdib,0.0
Chd2,Arhgef3,0.0
Chd2,Arhgef6,0.0
Chd2,Arid4a,0.0
Chd2,Arid4b,0.0
Chd2,Arid5b,0.0
Chd2,Arl13b,0.0
Chd2,Arl4a,0.0
Chd2,Arl6ip1,0.0
Chd2,Arl6ip4,0.0
Chd2,Armc1,0.0
Chd2,Armc7,0.0
Chd2,Arpc2,0.0
Chd2,Arpc5,3.391382420200709
Chd2,Arpc5l,0.02642552093563728
Chd2,Arpp19,0.0
Chd2,Asap1,0.0
Chd2,Ascc3,0.0
Chd2,Ash1l,0.0
Chd2,Ash2l,0.0
Chd2,Asrgl1,0.0
Chd2,Asxl2,0.0
Chd2,Atad2,0.0
Chd2,Ate1,0.0
Chd2,Atf7ip,0.0
Chd2,Atg3,2.502495351111849
Chd2,Atg5,0.0
Chd2,Atp10d,0.0
Chd2,Atp11b,0.0
Chd2,Atp1b3,0.0
Chd2,Atp2b1,1.987106904980396
Chd2,Atp5a1,0.0
Chd2,Atp5b,0.0
Chd2,Atp5c1,0.0
Chd2,Atp5d,0.0
Chd2,Atp5f1,0.0
Chd2,Atp5g3,0.0
Chd2,Atp5j,0.0
Chd2,Atp5j2,0.0
Chd2,Atp5o,0.0
Chd2,Atp6ap1,0.26489883287640614
Chd2,Atp6v0a2,0.0
Chd2,Atp6v0d1,0.0
Chd2,Atp6v0e,0.0
Chd2,Atp6v1c1,0.0
Chd2,Atp6v1d,0.0
Chd2,Atp6v1e1,0.0
Chd2,Atp8b4,0.0
Chd2,Atrx,0.0
Chd2,Atxn10,0.0
Chd2,Atxn7l3b,0.0
Chd2,Aup1,0.0
Chd2,Aurkaip1,0.0
Chd2,Avl9,0.0
Chd2,Azi2,3.391382420200709
